family_id,system,PF_a_Ya,PF_a_Yb,PF_a_Y0,PF_b_Yb,PF_b_Ya,PF_b_Y0,delta_a,delta_b,CFA_mean,CFA_min,gain_a,gain_b,gain_min,A_min,cos_spec,mag_spec,ratio_delta_mean,headroom_delta_mean,matched_TQ_min,critical_violation,pilot_success
F01_bakery_site,qwen3_8b,0.9375,0.125,0.9375,0.3125,0.125,0.375,0.8125,0.1875,0.5,0.1875,0.0,-0.0625,-0.0625,0.3125,0.8479983032859867,0.5896238207535377,0.5966386546125273,0.5714285707755102,0.5,False,False
F01_bakery_site,claude_sonnet,1.0,0.125,0.9375,0.875,0.0625,0.125,0.875,0.8125,0.84375,0.8125,0.0625,0.75,0.0625,0.875,0.9993148331749863,0.8443285053816434,0.822222221414321,0.9333333322996826,0.9166666666666667,False,True
F02_knowledge_tool,qwen3_8b,0.875,0.1875,0.1875,0.8125,0.0625,0.0,0.6875,0.75,0.71875,0.6875,0.6875,0.8125,0.6875,0.8125,0.9990561576607198,0.7194290270763336,0.7521008395418403,0.8230769221295464,0.3333333333333333,True,False
F02_knowledge_tool,claude_sonnet,1.0,0.125,1.0,0.8125,0.0625,0.25,0.875,0.75,0.8125,0.75,0.0,0.5625,0.0,0.8125,0.9970544848898167,0.814900300650331,0.8174603166248425,0.8999999990019047,1.0,False,True
F03_inspection_pilot,qwen3_8b,1.0,0.1875,1.0,1.0,0.125,0.375,0.8125,0.875,0.84375,0.8125,0.0,0.625,0.0,1.0,0.9993148331749863,0.8443285053816434,0.7309941514130159,0.9999999988131869,0.9166666666666667,True,False
F03_inspection_pilot,claude_sonnet,1.0,0.125,1.0,0.9375,0.125,0.25,0.875,0.8125,0.84375,0.8125,0.0,0.6875,0.0,0.9375,0.9993148331749863,0.8443285053816434,0.7712418293598189,0.9642857131836735,1.0,False,True
F04_review_plan,qwen3_8b,0.9375,0.625,0.625,0.75,0.3125,0.5625,0.3125,0.4375,0.375,0.3125,0.3125,0.1875,0.1875,0.75,0.9863939225348464,0.3801726581436387,0.3058823526834048,0.7348484832745639,0.9166666666666667,True,False
F04_review_plan,claude_sonnet,1.0,0.625,1.0,1.0,0.3125,0.6875,0.375,0.6875,0.53125,0.375,0.0,0.3125,0.0,1.0,0.9593655007050284,0.5537514108334172,0.3772893770188249,0.9999999979393939,1.0,True,False
